Small dictionary from THU, with frequency data.
FREQ,0;
坚定不移,FREQ:54113;
随时随地,FREQ:52510;
全力以赴,FREQ:36156;
丰富多彩,FREQ:34727;
余波未平,FREQ:32967;
脱颖而出,FREQ:31974;
实事求是,FREQ:31565;
一如既往,FREQ:30338;
众所周知,FREQ:29469;
一年一度,FREQ:29188;
因地制宜,FREQ:27805;
千方百计,FREQ:27561;
息息相关,FREQ:25804;
层出不穷,FREQ:25301;
引人注目,FREQ:24076;
当务之急,FREQ:22965;
滥用职权,FREQ:22885;
深入人心,FREQ:22071;
解放思想,FREQ:21847;
见义勇为,FREQ:21157;
敲诈勒索,FREQ:20827;
名不虚传,FREQ:20236;
来之不易,FREQ:20180;
名副其实,FREQ:20015;
下落不明,FREQ:19848;
坚持不懈,FREQ:19818;
源源不断,FREQ:19395;
络绎不绝,FREQ:19137;
弄虚作假,FREQ:19010;
不可思议,FREQ:18980;
不正之风,FREQ:18949;
小心翼翼,FREQ:18841;
长治久安,FREQ:18732;
如火如荼,FREQ:18585;
不折不扣,FREQ:18574;
后顾之忧,FREQ:18005;
纸醉金迷,FREQ:17612;
力所能及,FREQ:17518;
供不应求,FREQ:17422;
一目了然,FREQ:17310;
显而易见,FREQ:17273;
持之以恒,FREQ:16953;
成千上万,FREQ:16698;
大街小巷,FREQ:16354;
可想而知,FREQ:16264;
安居乐业,FREQ:16133;
齐心协力,FREQ:15972;
得天独厚,FREQ:15675;
一见钟情,FREQ:15636;
艰苦奋斗,FREQ:15564;
全心全意,FREQ:15503;
独一无二,FREQ:15496;
不约而同,FREQ:15230;
紧锣密鼓,FREQ:15200;
五花八门,FREQ:15109;
一应俱全,FREQ:15089;
应运而生,FREQ:14881;
与众不同,FREQ:14801;
触目惊心,FREQ:14766;
屡见不鲜,FREQ:14553;
无独有偶,FREQ:14457;
行之有效,FREQ:14353;
不知不觉,FREQ:14263;
大势所趋,FREQ:14236;
千家万户,FREQ:14142;
心有余悸,FREQ:13820;
不得而知,FREQ:13727;
前所未有,FREQ:13620;
迫不及待,FREQ:13603;
雪上加霜,FREQ:13570;
迫在眉睫,FREQ:13502;
此起彼伏,FREQ:13494;
脚踏实地,FREQ:13433;
意想不到,FREQ:13303;
错综复杂,FREQ:13132;
无可厚非,FREQ:13090;
源远流长,FREQ:13043;
举一反三,FREQ:13004;
循序渐进,FREQ:12875;
不遗余力,FREQ:12844;
不言而喻,FREQ:12652;
讨价还价,FREQ:12516;
深恶痛绝,FREQ:12511;
三位一体,FREQ:12414;
截然不同,FREQ:12326;
记忆犹新,FREQ:12263;
喜闻乐见,FREQ:12230;
家喻户晓,FREQ:12098;
日新月异,FREQ:12066;
取而代之,FREQ:12053;
莫名其妙,FREQ:11999;
名列前茅,FREQ:11993;
排忧解难,FREQ:11980;
各式各样,FREQ:11976;
玩忽职守,FREQ:11949;
任重道远,FREQ:11946;
奋发有为,FREQ:11859;
举足轻重,FREQ:11820;
比比皆是,FREQ:11743;
卓有成效,FREQ:11730;
落地生根,FREQ:11714;
势在必行,FREQ:11637;
史无前例,FREQ:11636;
理所当然,FREQ:11591;
耳熟能详,FREQ:11453;
由来已久,FREQ:11434;
一模一样,FREQ:11401;
厉行节约,FREQ:11378;
恶性循环,FREQ:11335;
铤而走险,FREQ:11292;
举世瞩目,FREQ:11230;
再接再厉,FREQ:11218;
足不出户,FREQ:11172;
翻天覆地,FREQ:11138;
非同寻常,FREQ:11077;
挨家挨户,FREQ:11057;
不翼而飞,FREQ:11020;
参差不齐,FREQ:10983;
水涨船高,FREQ:10972;
沸沸扬扬,FREQ:10931;
先发制人,FREQ:10913;
轩然大波,FREQ:10893;
土生土长,FREQ:10861;
出人意料,FREQ:10861;
统筹兼顾,FREQ:10847;
明察暗访,FREQ:10825;
刻不容缓,FREQ:10797;
融为一体,FREQ:10758;
焕然一新,FREQ:10740;
以身作则,FREQ:10717;
潜移默化,FREQ:10707;
风口浪尖,FREQ:10663;
有条不紊,FREQ:10326;
归根结底,FREQ:10289;
发扬光大,FREQ:10276;
旗帜鲜明,FREQ:10236;
万无一失,FREQ:10222;
可见一斑,FREQ:10214;
一视同仁,FREQ:10136;
相辅相成,FREQ:10077;
淋漓尽致,FREQ:9971;
耳目一新,FREQ:9971;
不了了之,FREQ:9877;
热火朝天,FREQ:9846;
有目共睹,FREQ:9788;
久而久之,FREQ:9768;
视而不见,FREQ:9757;
自强不息,FREQ:9753;
以权谋私,FREQ:9641;
继往开来,FREQ:9625;
赞不绝口,FREQ:9602;
义不容辞,FREQ:9525;
未雨绸缪,FREQ:9508;
一举一动,FREQ:9506;
绳之以法,FREQ:9496;
尽如人意,FREQ:9435;
有所作为,FREQ:9411;
对症下药,FREQ:9363;
出谋划策,FREQ:9352;
四面八方,FREQ:9346;
首当其冲,FREQ:9337;
马不停蹄,FREQ:9283;
不以为然,FREQ:9266;
必由之路,FREQ:9255;
所作所为,FREQ:9240;
一蹴而就,FREQ:9223;
人满为患,FREQ:9218;
身体力行,FREQ:9193;
精益求精,FREQ:9158;
不可忽视,FREQ:9121;
大吃一惊,FREQ:9086;
竭尽全力,FREQ:9085;
拭目以待,FREQ:9051;
无家可归,FREQ:9045;
哭笑不得,FREQ:8991;
铺张浪费,FREQ:8980;
不知所措,FREQ:8956;
座无虚席,FREQ:8908;
可乘之机,FREQ:8891;
琳琅满目,FREQ:8857;
卷土重来,FREQ:8835;
铺天盖地,FREQ:8799;
理直气壮,FREQ:8788;
面目全非,FREQ:8775;
忧心忡忡,FREQ:8741;
在所难免,FREQ:8700;
燃眉之急,FREQ:8700;
图文并茂,FREQ:8683;
不绝于耳,FREQ:8680;
津津乐道,FREQ:8638;
数以万计,FREQ:8626;
立竿见影,FREQ:8578;
议论纷纷,FREQ:8572;
与日俱增,FREQ:8529;
衣食住行,FREQ:8510;
精心设计,FREQ:8470;
急功近利,FREQ:8454;
鲜为人知,FREQ:8450;
根深蒂固,FREQ:8431;
博大精深,FREQ:8431;
大有可为,FREQ:8403;
轰轰烈烈,FREQ:8398;
惊心动魄,FREQ:8380;
不亦乐乎,FREQ:8378;
何去何从,FREQ:8359;
独立自主,FREQ:8357;
率先垂范,FREQ:8348;
相得益彰,FREQ:8298;
取信于民,FREQ:8293;
耐人寻味,FREQ:8255;
别开生面,FREQ:8221;
水泄不通,FREQ:8189;
接二连三,FREQ:8181;
无能为力,FREQ:8154;
难以为继,FREQ:8139;
陷入僵局,FREQ:8108;
感同身受,FREQ:8104;
不知去向,FREQ:8074;
匪夷所思,FREQ:8046;
背道而驰,FREQ:7996;
难以置信,FREQ:7977;
拳打脚踢,FREQ:7974;
一帆风顺,FREQ:7963;
掉以轻心,FREQ:7923;
畅所欲言,FREQ:7910;
习以为常,FREQ:7871;
漏洞百出,FREQ:7870;
年久失修,FREQ:7846;
出乎意料,FREQ:7834;
一脉相承,FREQ:7808;
毫不动摇,FREQ:7803;
当之无愧,FREQ:7760;
肆无忌惮,FREQ:7757;
寥寥无几,FREQ:7709;
顺藤摸瓜,FREQ:7679;
助人为乐,FREQ:7647;
欢聚一堂,FREQ:7632;
泪流满面,FREQ:7629;
接踵而至,FREQ:7620;
直言不讳,FREQ:7616;
义无反顾,FREQ:7610;
力不从心,FREQ:7593;
遍地开花,FREQ:7585;
慕名而来,FREQ:7578;
纷至沓来,FREQ:7576;
兴致勃勃,FREQ:7571;
家常便饭,FREQ:7568;
措手不及,FREQ:7558;
心急如焚,FREQ:7540;
一席之地,FREQ:7495;
栩栩如生,FREQ:7485;
眼花缭乱,FREQ:7483;
雪中送炭,FREQ:7479;
得不偿失,FREQ:7383;
安然无恙,FREQ:7341;
深入浅出,FREQ:7338;
自始至终,FREQ:7337;
捉襟见肘,FREQ:7337;
拒之门外,FREQ:7328;
望而却步,FREQ:7322;
默默无闻,FREQ:7300;
顺理成章,FREQ:7282;
难能可贵,FREQ:7237;
来龙去脉,FREQ:7236;
不谋而合,FREQ:7221;
清清楚楚,FREQ:7218;
如出一辙,FREQ:7209;
提心吊胆,FREQ:7205;
徇私舞弊,FREQ:7194;
一无所知,FREQ:7151;
锲而不舍,FREQ:7144;
别有用心,FREQ:7135;
大打出手,FREQ:7114;
同舟共济,FREQ:7107;
雨后春笋,FREQ:7073;
兢兢业业,FREQ:7041;
泣不成声,FREQ:7019;
无人问津,FREQ:6983;
应有尽有,FREQ:6982;
引以为戒,FREQ:6965;
异军突起,FREQ:6964;
通俗易懂,FREQ:6960;
波澜壮阔,FREQ:6922;
无可奈何,FREQ:6862;
归根到底,FREQ:6858;
品学兼优,FREQ:6815;
司空见惯,FREQ:6814;
推波助澜,FREQ:6796;
微乎其微,FREQ:6790;
相提并论,FREQ:6741;
束手无策,FREQ:6734;
信以为真,FREQ:6712;
死灰复燃,FREQ:6643;
苦不堪言,FREQ:6631;
争分夺秒,FREQ:6615;
集思广益,FREQ:6592;
蛮不讲理,FREQ:6591;
自力更生,FREQ:6590;
有的放矢,FREQ:6587;
严阵以待,FREQ:6565;
建功立业,FREQ:6537;
人山人海,FREQ:6535;
溃不成军,FREQ:6531;
国计民生,FREQ:6514;
年事已高,FREQ:6494;
绿水青山,FREQ:6492;
半壁江山,FREQ:6479;
求同存异,FREQ:6450;
蛛丝马迹,FREQ:6448;
鱼龙混杂,FREQ:6437;
扑朔迷离,FREQ:6434;
熙熙攘攘,FREQ:6433;
一技之长,FREQ:6426;
大江南北,FREQ:6408;
屈指可数,FREQ:6404;
交相辉映,FREQ:6397;
公之于众,FREQ:6389;
一拍即合,FREQ:6388;
絮絮叨叨,FREQ:6388;
一丝不苟,FREQ:6383;
相依为命,FREQ:6382;
微不足道,FREQ:6370;
大有作为,FREQ:6349;
良莠不齐,FREQ:6348;
令人瞩目,FREQ:6343;
迎刃而解,FREQ:6334;
从天而降,FREQ:6329;
不合时宜,FREQ:6313;
现身说法,FREQ:6305;
受益匪浅,FREQ:6275;
新陈代谢,FREQ:6275;
声势浩大,FREQ:6263;
高高在上,FREQ:6250;
合情合理,FREQ:6241;
量力而行,FREQ:6240;
不切实际,FREQ:6225;
针锋相对,FREQ:6205;
责无旁贷,FREQ:6201;
高瞻远瞩,FREQ:6196;
千千万万,FREQ:6187;
明目张胆,FREQ:6186;
连锁反应,FREQ:6171;
适得其反,FREQ:6145;
摇身一变,FREQ:6140;
跃跃欲试,FREQ:6108;
聚精会神,FREQ:6100;
承前启后,FREQ:6092;
杯水车薪,FREQ:6092;
一网打尽,FREQ:6088;
开花结果,FREQ:6073;
慷慨解囊,FREQ:6053;
素不相识,FREQ:6050;
重建家园,FREQ:6048;
长此以往,FREQ:6047;
无可争辩,FREQ:6047;
格格不入,FREQ:6005;
蔚然成风,FREQ:5999;
生机勃勃,FREQ:5988;
吃苦耐劳,FREQ:5983;
昏迷不醒,FREQ:5980;
金字招牌,FREQ:5977;
大相径庭,FREQ:5975;
堂而皇之,FREQ:5950;
如数家珍,FREQ:5942;
更新换代,FREQ:5939;
争先恐后,FREQ:5903;
浓墨重彩,FREQ:5893;
大刀阔斧,FREQ:5880;
惊慌失措,FREQ:5868;
所剩无几,FREQ:5857;
高官厚禄,FREQ:5850;
一心一意,FREQ:5847;
井然有序,FREQ:5815;
一波三折,FREQ:5805;
形迹可疑,FREQ:5804;
炙手可热,FREQ:5749;
身临其境,FREQ:5740;
二话不说,FREQ:5735;
流连忘返,FREQ:5693;
热泪盈眶,FREQ:5692;
销声匿迹,FREQ:5687;
打击报复,FREQ:5679;
尽心尽力,FREQ:5669;
一以贯之,FREQ:5663;
恍然大悟,FREQ:5657;
置之不理,FREQ:5655;
轻而易举,FREQ:5631;
人来人往,FREQ:5626;
青山绿水,FREQ:5619;
齐头并进,FREQ:5613;
一筹莫展,FREQ:5585;
百花齐放,FREQ:5578;
各执一词,FREQ:5570;
志同道合,FREQ:5565;
绞尽脑汁,FREQ:5550;
首屈一指,FREQ:5537;
水到渠成,FREQ:5530;
物美价廉,FREQ:5526;
众说纷纭,FREQ:5514;
各自为政,FREQ:5506;
语重心长,FREQ:5502;
德才兼备,FREQ:5488;
乐此不疲,FREQ:5477;
方兴未艾,FREQ:5471;
五颜六色,FREQ:5445;
无动于衷,FREQ:5438;
锦上添花,FREQ:5428;
荒淫无度,FREQ:5426;
推陈出新,FREQ:5426;
畅通无阻,FREQ:5425;
独树一帜,FREQ:5419;
省吃俭用,FREQ:5418;
无济于事,FREQ:5412;
情不自禁,FREQ:5405;
不足为奇,FREQ:5391;
忍无可忍,FREQ:5380;
埋头苦干,FREQ:5372;
郁郁葱葱,FREQ:5371;
事半功倍,FREQ:5360;
不省人事,FREQ:5349;
分门别类,FREQ:5345;
别出心裁,FREQ:5333;
明明白白,FREQ:5328;
热情洋溢,FREQ:5318;
大张旗鼓,FREQ:5315;
防不胜防,FREQ:5312;
惊魂未定,FREQ:5301;
蒙混过关,FREQ:5301;
错落有致,FREQ:5297;
一点一滴,FREQ:5277;
入不敷出,FREQ:5266;
我行我素,FREQ:5257;
深思熟虑,FREQ:5252;
趋之若鹜,FREQ:5247;
无微不至,FREQ:5234;
溢于言表,FREQ:5231;
车水马龙,FREQ:5196;
同心同德,FREQ:5189;
无所适从,FREQ:5185;
变本加厉,FREQ:5164;
壮士断腕,FREQ:5158;
雄心勃勃,FREQ:5152;
崭露头角,FREQ:5152;
以点带面,FREQ:5145;
学以致用,FREQ:5143;
心中有数,FREQ:5132;
五湖四海,FREQ:5124;
审时度势,FREQ:5117;
不择手段,FREQ:5114;
大起大落,FREQ:5082;
不厌其烦,FREQ:5081;
一针见血,FREQ:5076;
四通八达,FREQ:5075;
不可开交,FREQ:5061;
春暖花开,FREQ:5052;
天经地义,FREQ:5051;
悬而未决,FREQ:5037;
一言不发,FREQ:5036;
蜂拥而至,FREQ:5036;
扬长而去,FREQ:5023;
水落石出,FREQ:5018;
大开眼界,FREQ:5006;
载歌载舞,FREQ:5002;
子虚乌有,FREQ:4990;
了如指掌,FREQ:4987;
历历在目,FREQ:4974;
徇私枉法,FREQ:4966;
风云变幻,FREQ:4958;
公正廉洁,FREQ:4946;
茁壮成长,FREQ:4945;
千丝万缕,FREQ:4944;
奋不顾身,FREQ:4939;
轻描淡写,FREQ:4927;
不解之缘,FREQ:4914;
有意无意,FREQ:4914;
顾名思义,FREQ:4904;
有声有色,FREQ:4898;
流离失所,FREQ:4895;
诸如此类,FREQ:4865;
一清二楚,FREQ:4858;
众志成城,FREQ:4857;
救死扶伤,FREQ:4851;
梦寐以求,FREQ:4846;
逍遥法外,FREQ:4846;
按捺不住,FREQ:4845;
信誓旦旦,FREQ:4834;
不计其数,FREQ:4829;
缺一不可,FREQ:4828;
脱胎换骨,FREQ:4823;
真心实意,FREQ:4814;
对簿公堂,FREQ:4808;
不辱使命,FREQ:4790;
狂风暴雨,FREQ:4789;
日复一日,FREQ:4788;
白发苍苍,FREQ:4782;
山清水秀,FREQ:4776;
随心所欲,FREQ:4774;
浩浩荡荡,FREQ:4770;
不堪设想,FREQ:4770;
叹为观止,FREQ:4764;
不由自主,FREQ:4756;
天下第一,FREQ:4754;
如愿以偿,FREQ:4749;
取长补短,FREQ:4747;
所见所闻,FREQ:4719;
近在咫尺,FREQ:4713;
一言一行,FREQ:4709;
惨不忍睹,FREQ:4708;
一无所获,FREQ:4704;
既得利益,FREQ:4703;
呼之欲出,FREQ:4698;
一厢情愿,FREQ:4697;
黄金时代,FREQ:4697;
无与伦比,FREQ:4692;
无中生有,FREQ:4692;
啃硬骨头,FREQ:4686;
轰动一时,FREQ:4682;
街头巷尾,FREQ:4673;
掷地有声,FREQ:4662;
戛然而止,FREQ:4660;
念念不忘,FREQ:4655;
